slug	sample_rate	channels	sample_count	duration_s	rms	wav_roundtrip_exact	pcm_sha256
dayuhaitang	44100	2	8767488	198.809	0.178639	True	f948efa454b08a218c84053996974f998606307531572cb237da42679851d5f0
tashouheng	48000	2	10728448	223.509	0.26373	True	0c457d5f217670328228ae25a615889489247cf105fb401b9e4f2ac80cfcffbd
therightpath	44100	2	6530048	148.074	0.107859	True	4d9ea77ead61085d65a25b7556418d866fb403753e1a2a68c59f39c9a00a8075
huiyinruguo	48000	2	14259200	297.067	0.266001	True	24dabb6ef82ec2dac990a4419d4ee59ad9cf8fd87dfd8257922b4190788514bd
fuguang	48000	2	12124160	252.587	0.202412	True	989bfeee9c4a9e8501a811e9e54d13b3f69a4b959c9010d1c616b8b23123f24f
miyazakimountain	44100	2	9617408	218.082	0.174488	True	17b467a78eb988528f458af1e6afed8464b316ac524b5aa809049865b01163b6
heroreborn	44100	2	10805248	245.017	0.197483	True	1cd27d51b42d7ccae17721eb5533c199bb612416efaa143529584003c85d0bd2
riverflows	48000	2	10808320	225.173	0.028555	True	01b57747bc9d9332188070a50a06ac371e95591827f13c38aa5524a200701e99
blackblueroom	44100	2	16340992	370.544	0.158122	True	0c49e0c5426e11ba3302af5c68afb9d9900a6d1537df94f15af27be9e5ca7f25
flowerdance	44100	2	2142208	48.576	0.173614	True	19b8f5af6f4fa7612997c90149ef98e25d87f852dc62446a6da2aaa61f690627
